budget,genres,homepage,id,keywords,original_language,original_title,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count,tittle,cast,director
0,"['Drama', 'Crime']",Unknown,310706,Unknown,en,Black Water Transit,"In this action thriller set in post-Katrina New Orleans, business owner Jack Vermillion (Laurence Fishburne) is struggling to run a legitimate shipping company while bad guy Ernest Pike (Karl Urban) is struggling to get his family's illegal gun collection out of the country. When their paths collide, Jack realizes that exposing Pike might get him just the sway he needs to persuade law enforcement officials to treat his imprisoned son kindly.",0.126738,['Capitol Films'],['United States of America'],2009,0,100.0,['English'],Released,Unknown,Black Water Transit,0.0,0,Black Water Transit,"['Laurence Fishburne', 'Karl Urban', 'Brittany Snow']",Tony Kaye
34000000,"['Action', 'Mystery', 'Science Fiction']",http://themazerunnermovie.com/,198663,"['based on novel', 'maze', 'post-apocalyptic']",en,The Maze Runner,"Set in a post-apocalyptic world, young Thomas is deposited in a community of boys after his memory is erased, soon learning they're all trapped in a maze that will require him to join forces with fellow ""runners"" for a shot at escape.",131.815575,"['Ingenious Media', 'Twentieth Century Fox Film Corporation', 'Gotham Group']",['United States of America'],2014,348319861,113.0,['English'],Released,Run - Remember - Survive,The Maze Runner,7.0,5371,The Maze Runner,"[""Dylan O'Brien"", 'Ki Hong Lee', 'Kaya Scodelario']",Wes Ball
35000000,['Comedy'],Unknown,239573,"['europe', 'business trip']",en,Unfinished Business,"A hard-working small business owner and his two associates travel to Europe to close the most important deal of their lives.  But what began as a routine business trip goes off the rails in every imaginable – and unimaginable – way, including unplanned stops at a massive sex fetish event and a global economic summit.",16.832312,"['Studio Babelsberg', 'Regency Enterprises', 'Escape Artists']",['United States of America'],2015,14431253,91.0,['English'],Released,Best business trip ever.,Unfinished Business,5.0,320,Unfinished Business,"['Vince Vaughn', 'Dave Franco', 'James Marsden']",Ken Scott
34000000,"['Drama', 'Romance']",Unknown,10436,"['upper class', 'new york', 'lover']",en,The Age of Innocence,"Tale of 19th century New York high society in which a young lawyer falls in love with a woman separated from her husband, while he is engaged to the woman's cousin.",9.133747,['Columbia Pictures'],['United States of America'],1993,32255440,139.0,"['English', 'Italiano']",Released,In a world of tradition. In an age of innocence. They dared to break the rules.,The Age of Innocence,7.0,169,The Age of Innocence,"['Daniel Day-Lewis', 'Michelle Pfeiffer', 'Winona Ryder']",Martin Scorsese
35000000,"['Drama', 'Adventure', 'Science Fiction']",http://thefountainmovie.warnerbros.com/,1381,"['brain tumor', 'operation', 'queen']",en,The Fountain,"Spanning over one thousand years, and three parallel stories, The Fountain is a story of love, death, spirituality, and the fragility of our existence in this world.",24.606012,"['Regency Enterprises', 'Warner Bros.', 'Muse Entertainment Enterprises']",['United States of America'],2006,15304890,96.0,['English'],Released,Death is the road to awe,The Fountain,6.8,827,The Fountain,"['Hugh Jackman', 'Rachel Weisz', 'Ellen Burstyn']",Darren Aronofsky
70000000,"['Action', 'Comedy', 'Thriller']",Unknown,2162,Unknown,en,Chill Factor,A store clerk and an ice cream truck driver are thrown together when a dying scientist entrusts them with a deadly chemical kept in ice. This chemical will kill every living thing once it melts. They have to take the chemical codenamed 'Elvis' to the next nearest military base while being chased by terrorists who want it to hold the country for ransom.,3.276912,"['Warner Bros.', 'Morgan Creek Productions']",['United States of America'],1999,11263966,101.0,['English'],Released,"This Fall, Action is served on the rocks, with a twist.",Chill Factor,5.3,29,Chill Factor,"['Cuba Gooding Jr.', 'Skeet Ulrich', 'Peter Firth']",Hugh Johnson
35000000,"['Action', 'Crime', 'Drama']",Unknown,127493,"['taxi driver', 'thief', 'fbi agent']",en,Stolen,"A former thief frantically searches for his missing daughter, who has been kidnapped and locked in the trunk of a taxi.",16.830184,"['Saturn Films', 'Nu Image Films', 'Millennium Films']",['United States of America'],2012,2106557,96.0,"['svenska', 'English']",Released,Never steal from the world's greatest thief.,Stolen,5.1,344,Stolen,"['Nicolas Cage', 'Malin Åkerman', 'Josh Lucas']",Simon West
41677699,"['Animation', 'Family']",Unknown,12429,"['mother', 'fish', 'cliff']",ja,崖の上のポニョ,"The son of a sailor, 5-year old Sosuke lives a quiet life on an oceanside cliff with his mother Lisa. One fateful day, he finds a beautiful goldfish trapped in a bottle on the beach and upon rescuing her, names her Ponyo. But she is no ordinary goldfish. The daughter of a masterful wizard and a sea goddess, Ponyo uses her father's magic to transform herself into a young girl and quickly falls in love with Sosuke, but the use of such powerful sorcery causes a dangerous imbalance in the world. As the moon steadily draws nearer to the earth and Ponyo's father sends the ocean's mighty waves to find his daughter, the two children embark on an adventure of a lifetime to save the world and fulfill Ponyo's dreams of becoming human.",39.58676,"['Studio Ghibli', 'The Yomiuri Shimbun', 'Hakuhodo DY Media Partners']",['Japan'],2008,187479518,100.0,['日本語'],Released,Welcome To A World Where Anything Is Possible.,Ponyo,7.5,926,Ponyo,"['Yuria Nara', 'Hiroki Doi', 'George Tokoro']",Hayao Miyazaki
34000000,"['Drama', 'Romance']",Unknown,228205,"['based on novel', 'art student', 'cowboy']",en,The Longest Ride,The lives of a young couple intertwine with a much older man as he reflects back on a lost love while he's trapped in an automobile crash.,41.946523,"['Fox 2000 Pictures', 'Temple Hill Entertainment']",['United States of America'],2015,63013281,128.0,['English'],Released,Two couples. Two love stories. One epic tale.,The Longest Ride,7.3,1064,The Longest Ride,"['Scott Eastwood', 'Britt Robertson', 'Lolita Davidovich']","George Tillman, Jr."
75000000,"['Drama', 'Science Fiction', 'Thriller']",Unknown,2900,"['wife husband relationship', 'space travel', 'space']",en,The Astronaut's Wife,"When astronaut Spencer Armacost returns to Earth after a mission that nearly cost him his life, he decides to take a desk job in order to see his beautiful wife, Jillian, more often. Gradually, Jillian notices that Spencer's personality seems to have changed, but her concerns fade when she discovers that she's pregnant. As Jillian grows closer to becoming a mother, her suspicions about Spencer return. Why does it seem as if he's a different person?",20.697556,"['New Line Cinema', 'Mad Chance']",['United States of America'],1999,19598588,109.0,['English'],Released,How well do you know the one you love?,The Astronaut's Wife,5.4,254,The Astronaut's Wife,"['Johnny Depp', 'Charlize Theron', 'Joe Morton']",Rand Ravich
34000000,"['Romance', 'Drama', 'Adventure']",Unknown,21311,['africa'],en,I Dreamed of Africa,"Inspired by the true story of indomitable Kuki Gallmann, the film tells of a beautiful and inquisitive woman who had the courage to escape from her comfortable yet monotonous life in Italy to start anew in the African wilderness with her son, Emanuele, and her new husband, Paolo. Gallmann faces great danger there but eventually becomes a celebrated conservationist.",1.656695,['Columbia Pictures'],['United States of America'],2000,0,114.0,['English'],Released,Sometimes the adventure of a lifetime becomes life itself.,I Dreamed of Africa,5.3,18,I Dreamed of Africa,"['Kim Basinger', 'Vincent Pérez', 'Liam Aiken']",Hugh Hudson
35000000,"['Comedy', 'Romance']",Unknown,77875,"['mother', 'father son relationship', 'field']",en,Playing for Keeps,A former sports star who's fallen on hard times starts coaching his son's soccer team in an attempt to get his life together.,17.932561,"['Evil Twins', 'Eclectic pictures', 'Millennium Films']",['United States of America'],2012,0,106.0,['English'],Released,Unknown,Playing for Keeps,5.4,240,Playing for Keeps,"['Gerard Butler', 'Jessica Biel', 'Uma Thurman']",Gabriele Muccino
35000000,"['Drama', 'History']",Unknown,192136,"['prison', 'south africa', 'apartheid']",en,Mandela: Long Walk to Freedom,A chronicle of Nelson Mandela's life journey from his childhood in a rural village through to his inauguration as the first democratically elected president of South Africa.,15.50957,"['Distant Horizons', 'Film Afrika Worldwide', 'Videovision Entertainment']","['United Kingdom', 'South Africa']",2013,27330000,141.0,"['English', 'Afrikaans', '']",Released,It is an ideal for which I am prepared to die.,Mandela: Long Walk to Freedom,6.5,224,Mandela: Long Walk to Freedom,"['Idris Elba', 'Naomie Harris', 'Tony Kgoroge']",Justin Chadwick
32000000,"['Drama', 'History']",Unknown,18254,"['journalist', 'russian revolution 1917']",en,Reds,A radical American journalist becomes involved with the Communist revolution in Russia and hopes to bring its spirit and idealism to the United States.,4.602185,"['Barclays Mercantile Industrial Finance', 'JRS Productions']",['United States of America'],1981,40382659,195.0,"['Deutsch', 'suomi', 'Français']",Released,Not since Gone With The Wind has there been a great romantic epic like it!,Reds,7.1,67,Reds,"['Warren Beatty', 'Diane Keaton', 'Edward Herrmann']",Warren Beatty
40000000,['Drama'],http://www.sonypictures.com/movies/afewgoodmen/,881,"['suicide', 'underdog', 'suspicion of murder']",en,A Few Good Men,"When cocky military lawyer Lt. Daniel Kaffee and his co-counsel, Lt. Cmdr. JoAnne Galloway, are assigned to a murder case, they uncover a hazing ritual that could implicate high-ranking officials such as shady Col. Nathan Jessep.",40.379966,['David Brown Productions'],['United States of America'],1992,243240178,138.0,['English'],Released,Unknown,A Few Good Men,7.1,877,A Few Good Men,"['Tom Cruise', 'Jack Nicholson', 'Demi Moore']",Rob Reiner
50000000,"['Action', 'Crime', 'Thriller']",http://www.exitwounds.net/,10877,"['corruption', 'scandal', 'shadowing']",en,Exit Wounds,"Maverick cop Orin Boyd always brings down the domestic terrorists he tracks, but he ruffles feathers with his unorthodox techniques -- and soon finds himself reassigned to the toughest district in Detroit. When he discovers a group of detectives secretly operating a drug ring, Boyd joins forces with an unlikely ally -- gangster Latrell Walker -- to bring down the rotten cops.",12.601306,"['Village Roadshow Pictures', 'NPV Entertainment', 'Warner Bros.']","['Canada', 'United States of America']",2001,79958599,101.0,['Italiano'],Released,This Is Gonna Hurt,Exit Wounds,5.3,110,Exit Wounds,"['Steven Seagal', 'DMX', 'Isaiah Washington']",Andrzej Bartkowiak
30000000,"['Crime', 'Comedy']",Unknown,9600,"['绝地奶霸', '卧底肥妈', 'big爆任务']",en,Big Momma's House,"When a street-smart FBI agent is sent to Georgia to protect a beautiful single mother and her son from an escaped convict, he is forced to impersonate a crass Southern granny known as Big Momma in order to remain incognito.",24.389194,"['Twentieth Century Fox Film Corporation', 'Regency Enterprises']","['Germany', 'United States of America']",2000,173959438,98.0,['English'],Released,This FBI agent is going undercover... and he's concealing more than a weapon.,Big Momma's House,5.6,506,Big Momma's House,"['Martin Lawrence', 'Nia Long', 'Paul Giamatti']",Raja Gosnell
34000000,"['Family', 'Fantasy', 'Animation']",http://www.nwave.com/films/3d-feature-films/13-films-cat/feature/95-the-house-of-magic-3d,202575,"['magic', '3d']",en,The House of Magic,"Thunder, an abandoned young cat seeking shelter from a storm, stumbles into the strangest house imaginable, owned by an old magician and inhabited by a dazzling array of automatons and gizmos. Not everyone welcomes the new addition to the troupe as Jack Rabbit and Maggie Mouse plot to evict Thunder. The situation gets worse when the magician lands in hospital and his scheming nephew sees his chance to cash in by selling the mansion. Our young hero is determined to earn his place and so he enlists the help of some wacky magician's assistants to protect his magical new home.",12.867326,"['StudioCanal', 'nWave Pictures', 'Illuminata Pictures']","['Belgium', 'United States of America']",2013,0,85.0,"['Deutsch', 'Français', 'English']",Released,One lost little cat. One magical adventure.,Thunder and the House of Magic,6.3,121,Thunder and the House of Magic,"['Brianne Siddall', 'Joey Camen', 'Elisa Gabrielli']",Ben Stassen
30000000,"['Horror', 'Action', 'Thriller']",http://www.darkesthourmovie.com/,71469,"['alien invasion', 'american abroad', 'moscow']",en,The Darkest Hour,"In Moscow, five young people lead the charge against an alien race which has attacked Earth via our power supply.",23.328823,"['Summit Entertainment', 'Regency Enterprises', 'Bazelevs Production']","['United States of America', 'Russia']",2011,64626786,89.0,['English'],Released,Survive The Holidays,The Darkest Hour,4.8,469,The Darkest Hour,"['Emile Hirsch', 'Rachael Taylor', 'Olivia Thirlby']",Chris Gorak
33000000,"['Music', 'Drama', 'Romance']",Unknown,85446,"['flash mob', 'dance instructor', 'real estate development']",en,Step Up Revolution,"Emily arrives in Miami with aspirations to become a professional dancer. She sparks with Sean, the leader of a dance crew whose neighborhood is threatened by Emily's father's development plans.",29.775441,['Summit Entertainment'],['United States of America'],2012,140470746,99.0,['English'],Released,One Step Can Change Your World,Step Up Revolution,6.7,663,Step Up Revolution,"['Kathryn McCormick', 'Ryan Guzman', 'Stephen Boss']",Scott Speer
33000000,"['Action', 'Crime', 'Horror']",Unknown,326,"['snake', 'suspense', 'fbi agent']",en,Snakes on a Plane,"America is on the search for the murderer Eddie Kim. Sean Jones must fly to L.A. to testify in a hearing against Kim. Accompanied by FBI agent Neville Flynn, the flight receives some unexpected visitors.",19.642328,['New Line Cinema'],['United States of America'],2006,62022014,105.0,"['English', 'ภาษาไทย']",Released,"At 30,000 feet, snakes aren't the deadliest thing on this plane.",Snakes on a Plane,5.1,497,Snakes on a Plane,"['Samuel L. Jackson', 'Julianna Margulies', 'Kenan Thompson']",David R. Ellis
33000000,"['Mystery', 'Thriller']",Unknown,10685,"['chicago', 'fbi', 'menace']",en,The Watcher,"FBI agent Joel Campbell, burnt-out and shell-shocked after years spent chasing serial killers, flees L.A. to begin a new life for himself in Chicago. But five months later, Joel's best laid plans are abruptly cut short when his new hometown becomes the setting for some particularly gruesome murders--murders that could only have been committed by one man: David Allen Griffin. One of Joel's most elusive and cunning nemeses, Griffin has followed his former pursuer to Chicago in order to play a sadistic game of cat and mouse. Taunting Joel with photographs of his intended victims and leaving his crime scenes meticulously free of clues in order to keep the police at bay, Griffin derives as much pleasure out of watching Joel react to every movement as watching his victims die. But when Griffin moves into Joel's inner circle, Joel must quickly find some way to stop him before someone close to him becomes the next one to die.",7.339908,['Universal Pictures'],['United States of America'],2000,0,96.0,"['Tiếng Việt', 'English']",Released,Don't go home alone.,The Watcher,4.9,110,The Watcher,"['James Spader', 'Keanu Reeves', 'Marisa Tomei']",Joe Charbanic
33000000,"['Action', 'Crime', 'Drama']",http://marvel.com/movies/movie/5/the_punisher,7220,"['chain', 'submachine gun', 'undercover']",en,The Punisher,"When undercover FBI agent Frank Castle's wife and son are slaughtered, he becomes 'the Punisher' -- a ruthless vigilante willing to go to any length to avenge his family.",35.099611,"['Lions Gate Films', 'VIP 3 Medienfonds', 'Valhalla Motion Pictures']","['Germany', 'United States of America']",2004,54700105,124.0,['English'],Released,"There is no justice, there is only revenge.",The Punisher,6.1,766,The Punisher,"['Thomas Jane', 'John Travolta', 'Will Patton']",Jonathan Hensleigh
30000000,['Drama'],Unknown,9763,"['restaurant', 'sport', 'coach']",en,Goal!: The Dream Begins,"Like millions of kids around the world, Santiago harbors the dream of being a professional footballer...However, living in the Barrios section of Los Angeles, he thinks it is only that--a dream. Until one day an extraordinary turn of events has him trying out for Premiership club Newcastle United.",16.541791,"['Touchstone Pictures', 'Milkshake Films', 'Hargitay & Hargitay Pictures in Motion']","['United Kingdom', 'United States of America']",2005,27610873,118.0,"['English', 'Español']",Released,Every Dream Has A Beginning,Goal!: The Dream Begins,6.6,238,Goal!: The Dream Begins,"['Kuno Becker', 'Alessandro Nivola', 'Anna Friel']",Danny Cannon
30000000,"['Action', 'Crime', 'Thriller']",http://www.safethefilm.com/,72387,['broken trachea'],en,Safe,"After a former elite agent rescues a 12-year-old Chinese girl who's been abducted, they find themselves in the middle of a standoff between Triads, the Russian Mafia and high-level corrupt New York City politicians and police.",31.92695,"['Lawrence Bender Productions', 'IM Global', 'Automatik Entertainment']",['United States of America'],2012,40346186,94.0,"['English', '普通话', 'Pусский']",Released,She has the code. He is the key.,Safe,6.3,799,Safe,"['Jason Statham', 'Chris Sarandon', 'James Hong']",Boaz Yakin
33000000,"['Comedy', 'Drama']",Unknown,12596,"['competition', 'airport', 'air controller']",en,Pushing Tin,"Two air traffic controllers (John Cusack, Billy Bob Thornton) who thrive on living dangerously compete to outdo each other on several levels.",9.060642,"['Regency Enterprises', 'Fox 2000 Pictures', 'Art Linson Productions']","['Germany', 'United States of America']",1999,0,124.0,['English'],Released,A comedy about losing control,Pushing Tin,5.7,116,Pushing Tin,"['John Cusack', 'Billy Bob Thornton', 'Cate Blanchett']",Mike Newell
32350000,"['Adventure', 'Action', 'Science Fiction']",http://www.starwars.com/films/star-wars-episode-vi-return-of-the-jedi,1892,"['rebel', 'brother sister relationship', 'emperor']",en,Return of the Jedi,"As Rebel leaders map their strategy for an all-out attack on the Emperor's newer, bigger Death Star. Han Solo remains frozen in the cavernous desert fortress of Jabba the Hutt, the most loathsome outlaw in the universe, who is also keeping Princess Leia as a slave girl. Now a master of the Force, Luke Skywalker rescues his friends, but he cannot become a true Jedi Knight until he wages his own crucial battle against Darth Vader, who has sworn to win Luke over to the dark side of the Force.",46.509071,"['Lucasfilm', 'Twentieth Century Fox Film Corporation']",['United States of America'],1983,572700000,135.0,['English'],Released,The Empire Falls...,Return of the Jedi,7.9,4665,Return of the Jedi,"['Mark Hamill', 'Harrison Ford', 'Carrie Fisher']",Richard Marquand
30000000,"['Action', 'Thriller', 'Science Fiction']",Unknown,13460,"['dystopia', 'quarantine', 'futuristic']",en,Doomsday,"A lethal virus spreads throughout the British isles,infecting millions and killing hundreds of thousands. To contain the threat, acting authorities brutally quarantine the country as it succumbs to fear and chaos. The quarantine is successful. Three decades later, the Reaper virus violently resurfaces in a major city. An elite group of specialists is urgently dispatched into the still-quarantined country to retrieve a cure by any means necessary. Shut off from the rest of the world, the unit must battle through a landscape that has become a waking nightmare.",21.538222,"['Rogue Pictures', 'Intrepid Pictures', 'Scion Films']","['Germany', 'United Kingdom', 'United States of America']",2008,22211426,108.0,['English'],Released,Mankind has an expiration date.,Doomsday,5.8,363,Doomsday,"['Rhona Mitra', 'Bob Hoskins', 'Malcolm McDowell']",Neil Marshall
32000000,"['Drama', 'Romance']",Unknown,8055,"['germany', 'war crimes', 'trial']",en,The Reader,"The story of Michael Berg, a German lawyer who, as a teenager in the late 1950s, had an affair with an older woman, Hanna, who then disappeared only to resurface years later as one of the defendants in a war crimes trial stemming from her actions as a concentration camp guard late in the war. He alone realizes that Hanna is illiterate and may be concealing that fact at the expense of her freedom.",33.923786,"['Studio Babelsberg', 'Filmförderanstalt (FFA)', 'The Weinstein Company']","['Germany', 'United States of America']",2008,113019290,124.0,"['English', 'Deutsch', 'ελληνικά']",Released,Behind the mystery lies a truth that will make you question everything you know.,The Reader,7.2,813,The Reader,"['Kate Winslet', 'Ralph Fiennes', 'David Kross']",Stephen Daldry
35000000,['Comedy'],http://www.wanderlust-movie.com/Wanderlust/home.html,50647,"['hippie', 'commune', 'nudism']",en,Wanderlust,"Rattled by sudden unemployment, a Manhattan couple surveys alternative living options, ultimately deciding to experiment with living on a rural commune where free love rules.",20.908494,"['Relativity Media', 'Apatow Productions', 'A Hot Dog']",['United States of America'],2012,24159934,98.0,['English'],Released,Leave your baggage behind,Wanderlust,5.3,394,Wanderlust,"['Paul Rudd', 'Jennifer Aniston', 'Justin Theroux']",David Wain
32000000,"['Comedy', 'Family', 'Fantasy']",Unknown,10719,"['holiday', 'elves', 'santa claus']",en,Elf,"When young Buddy falls into Santa's gift sack on Christmas Eve, he's transported back to the North Pole and raised as a toy-making elf by Santa's helpers. But as he grows into adulthood, he can't shake the nagging feeling that he doesn't belong. Buddy vows to visit Manhattan and find his real dad, a workaholic publisher.",16.901954,"['New Line Cinema', 'Gold/Miller Productions', 'Guy Walks into a Bar Productions']","['United States of America', 'Germany']",2003,173398518,97.0,['English'],Released,"This holiday, discover your inner elf.",Elf,6.4,987,Elf,"['Will Ferrell', 'James Caan', 'Zooey Deschanel']",Jon Favreau
32000000,"['Drama', 'Fantasy', 'Romance']",Unknown,9294,"['brain tumor', 'telekinesis', 'genius']",en,Phenomenon,"An ordinary man sees a bright light descend from the sky, and discovers he now has super-intelligence and telekinesis.",15.039407,['Touchstone Pictures'],['United States of America'],1996,152036382,123.0,['English'],Released,Some things in life just can't be explained.,Phenomenon,6.2,323,Phenomenon,"['John Travolta', 'Kyra Sedgwick', 'Forest Whitaker']",Jon Turteltaub
33000000,"['Adventure', 'Comedy', 'Family']",Unknown,11888,"['adoption', 'log cabin', 'alaska']",en,Snow Dogs,"When a Miami dentist inherits a team of sled dogs, he's got to learn the trade or lose his pack to a crusty mountain man.",13.655735,['Walt Disney Pictures'],"['Canada', 'United States of America']",2002,0,99.0,['English'],Released,Get ready for mush hour!,Snow Dogs,5.3,185,Snow Dogs,"['Jim Belushi', 'Cuba Gooding Jr.', 'James Coburn']",Brian Levant
0,"['Fantasy', 'Comedy', 'Drama']",Unknown,9647,"['holiday', 'tv ratings', 'comedy']",en,Scrooged,"In this modern take on Charles Dickens' ""A Christmas Carol,"" Frank Cross (Bill Murray) is a wildly successful television executive whose cold ambition and curmudgeonly nature has driven away the love of his life, Claire Phillips (Karen Allen). But after firing a staff member, Eliot Loudermilk (Bobcat Goldthwait), on Christmas Eve, Frank is visited by a series of ghosts who give him a chance to re-evaluate his actions and right the wrongs of his past.",21.620317,['Paramount Pictures'],['United States of America'],1988,60328000,101.0,['English'],Released,The spirits will move you in odd and hysterical ways.,Scrooged,6.7,390,Scrooged,"['Bill Murray', 'Karen Allen', 'John Forsythe']",Richard Donner
32000000,"['Comedy', 'Family']",http://www.nacholibre.com/,9353,"['nun', 'sport', 'orphanage']",en,Nacho Libre,"Nacho Libre is loosely based on the story of Fray Tormenta (""Friar Storm""), aka Rev. Sergio Gutierrez Benitez, a real-life Mexican Catholic priest who had a 23-year career as a masked luchador. He competed in order to support the orphanage he directed. The producers are Jack Black, David Klawans, Julia Pistor, and Mike White.",14.642055,"['Paramount Pictures', 'Nickelodeon Movies', 'Black & White Productions']",['United States of America'],2006,80197993,92.0,"['Español', 'English']",Released,He's not lean. He's not mean. He's nacho average hero.,Nacho Libre,5.6,359,Nacho Libre,"['Jack Black', 'Ana de la Reguera', 'Héctor Jiménez']",Jared Hess
32500000,"['Comedy', 'Romance']",http://www.bridesmaidsmovie.com/,55721,"['competition', 'jealousy', 'fight']",en,Bridesmaids,"Annie’s life is a mess. But when she finds out her lifetime best friend is engaged, she simply must serve as Lillian’s maid of honor. Though lovelorn and broke, Annie bluffs her way through the expensive and bizarre rituals. With one chance to get it perfect, she’ll show Lillian and her bridesmaids just how far you’ll go for someone you love.",17.107065,"['Universal Pictures', 'Relativity Media', 'Apatow Productions']",['United States of America'],2011,288383523,125.0,['English'],Released,Save the date,Bridesmaids,6.5,1661,Bridesmaids,"['Kristen Wiig', 'Rose Byrne', 'Maya Rudolph']",Paul Feig
32000000,"['Action', 'Comedy']",http://www.thisistheend.com/,109414,"['rape', 'monster', 'panic']",en,This Is the End,"While attending a party at James Franco's house, Seth Rogen, Jay Baruchel and many other celebrities are faced with the apocalypse.",38.21708,"['Columbia Pictures', 'Mandate Pictures', 'Sony Pictures Entertainment (SPE)']",['United States of America'],2013,126041322,107.0,['English'],Released,Nothing ruins a party like the end of the world.,This Is the End,6.3,2359,This Is the End,"['James Franco', 'Jonah Hill', 'Seth Rogen']",Seth Rogen
29000000,['Horror'],Unknown,10307,"['vatican', 'miracle', 'christian']",en,Stigmata,"A young woman with no strong religious beliefs, Frankie Paige begins having strange and violent experiences, showing signs of the wounds that Jesus received when crucified. When the Vatican gets word of Frankie's situation, a high-ranking cardinal requests that the Rev. Andrew Kiernan investigate her case. Soon Kiernan realizes that very sinister forces are at work, and tries to rescue Frankie from the entity that is plaguing her.",14.993169,"['FGM Entertainment', 'Metro-Goldwyn-Mayer (MGM)']",['United States of America'],1999,50041732,103.0,"['English', 'Italiano', 'Português']",Released,The messenger must be silenced.,Stigmata,6.0,242,Stigmata,"['Patricia Arquette', 'Gabriel Byrne', 'Jonathan Pryce']",Rupert Wainwright
32000000,['Drama'],Unknown,11978,"['diving', 'u.s. navy']",en,Men of Honor,"Against formidable odds -- and an old-school diving instructor embittered by the U.S. Navy's new, less prejudicial policies -- Carl Brashear sets his sights on becoming the Navy's first African-American master diver in this uplifting true story. Their relationship starts out on the rocks, but fate ultimately conspires to bring the men together into a setting of mutual respect, triumph and honor.",24.147269,['Fox 2000 Pictures'],['United States of America'],2000,48814909,129.0,['English'],Released,History is made by those who break the rules.,Men of Honor,7.0,544,Men of Honor,"['Robert De Niro', 'Cuba Gooding Jr.', 'Charlize Theron']","George Tillman, Jr."
32000000,"['Action', 'Crime', 'Drama']",http://www.whoarethetakers.com/,22907,['heist'],en,Takers,"A seasoned team of bank robbers, including Gordon Jennings (Idris Elba), John Rahway (Paul Walker), A.J. (Hayden Christensen), and brothers Jake (Michael Ealy) and Jesse Attica (Chris Brown) successfully complete their latest heist and lead a life of luxury while planning their next job. When Ghost (Tip T.I. Harris), a former member of their team, is released from prison he convinces the group to strike an armored car carrying $20 million. As the ""Takers"" carefully plot out their strategy and draw nearer to exacting the grand heist, a reckless police officer (Matt Dillon) inches closer to apprehending the criminals.",18.47242,['Rainforest Films'],['United States of America'],2010,69055695,107.0,['English'],Released,Who's Taking Who?,Takers,6.0,394,Takers,"['Chris Brown', 'Hayden Christensen', 'Matt Dillon']",John Luessenhop
35000000,['Comedy'],Unknown,87567,"['adoption', 'marriage', 'divorce']",en,The Big Wedding,"To the amusement of their adult children and friends, long divorced couple Don and Ellie Griffin are once again forced to play the happy couple for the sake of their adopted son's wedding after his ultra conservative biological mother unexpectedly decides to fly halfway across the world to attend. With all of the wedding guests looking on, the Griffins are hilariously forced to confront their past, present and future - and hopefully avoid killing each other in the process.",18.84332,"['Millenium Films', 'Two Ton Films']",['United States of America'],2013,21819348,90.0,"['English', 'Español', 'Latin']",Released,It's never too late to start acting like a family,The Big Wedding,5.7,414,The Big Wedding,"['Robert De Niro', 'Diane Keaton', 'Katherine Heigl']",Justin Zackham
32000000,"['Crime', 'Comedy', 'Action']",http://www.bigmommaslikefatherlikeson.com/,38322,"['undercover', 'fbi', 'sequel']",en,"Big Mommas: Like Father, Like Son","FBI agent Malcolm Turner and his 17-year-old son, Trent, go undercover at an all-girls performing arts school after Trent witnesses a murder. Posing as Big Momma and Charmaine, they must find the murderer before he finds them.",15.901137,"['Twentieth Century Fox Film Corporation', 'Regency Enterprises', 'New Regency Pictures']",['United States of America'],2011,83615414,107.0,['English'],Released,Momma's got back-up.,"Big Mommas: Like Father, Like Son",5.3,313,"Big Mommas: Like Father, Like Son","['Martin Lawrence', 'Brandon T. Jackson', 'Portia Doubleday']",John Whitesell
32000000,"['Thriller', 'Science Fiction', 'Mystery']",http://www.enterthesourcecode.com/,45612,"['bomb', 'identity', 'fantasy']",en,Source Code,"Decorated soldier Captain Colter Stevens wakes up in the body of an unknown man, discovering he's involved in a mission to find the bomber of a Chicago commuter train. He learns he's part of a top-secret experimental program that enables him to experience the final 8 minutes of another person's life. Colter re-lives the train incident over and over again, gathering more clues each time. But can he discover who is responsible for the attack before the next one happens?",59.19888,"['The Mark Gordon Company', 'Vendome Pictures']","['Canada', 'United States of America']",2011,147332697,93.0,['English'],Released,Make Every Second Count,Source Code,7.1,2699,Source Code,"['Jake Gyllenhaal', 'Michelle Monaghan', 'Vera Farmiga']",Duncan Jones
32000000,"['Action', 'Adventure', 'Drama']",Unknown,7305,"['rugby', 'stranded', 'survival']",en,Alive,"The amazing, true story of a Uruguayan rugby team's plane that crashed in the middle of the Andes mountains, and their immense will to survive and pull through alive, forced to do anything and everything they could to stay alive on meager rations and through the freezing cold.",14.48851,"['Paramount Pictures', 'Touchstone Pictures']",['United States of America'],1993,36733909,120.0,"['English', 'Português']",Released,They survived the impossible...by doing the unthinkable.,Alive,6.7,374,Alive,"['Ethan Hawke', 'Vincent Spano', 'Josh Hamilton']",Frank Marshall
